"","MGI.symbol","HGNC.symbol","pair"
"217","3110040N11Rik","C15orf40","C15orf40_3110040N11Rik"
"218","2300009A05Rik","C15orf61","C15orf61_2300009A05Rik"
"219","1810013L24Rik","C16orf72","C16orf72_1810013L24Rik"
"220","1700016K19Rik","C17orf97","C17orf97_1700016K19Rik"
"221","1600014C10Rik","C19orf12","C19orf12_1600014C10Rik"
"222","2310022A10Rik","C19orf47","C19orf47_2310022A10Rik"
"223","0610030E20Rik","C2orf68","C2orf68_0610030E20Rik"
"224","6430571L13Rik","C3orf18","C3orf18_6430571L13Rik"
"225","BC016579","C3orf52","C3orf52_BC016579"
"226","Gm1673","C4orf48","C4orf48_Gm1673"
"227","B230219D22Rik","C5orf24","C5orf24_B230219D22Rik"
"228","1600012H06Rik","C6orf120","C6orf120_1600012H06Rik"
"229","2310039H08Rik","C6orf226","C6orf226_2310039H08Rik"
"230","D17H6S53E","C6orf47","C6orf47_D17H6S53E"
"231","AW209491","C7orf25","C7orf25_AW209491"
"232","3110082I17Rik","C7orf50","C7orf50_3110082I17Rik"
"233","9930012K11Rik","C8orf58","C8orf58_9930012K11Rik"
"234","C030006K11Rik","C8orf82","C8orf82_C030006K11Rik"
"235","Cabin1","CABIN1","CABIN1_Cabin1"
"236","Cacna1a","CACNA1A","CACNA1A_Cacna1a"
"237","Cacna1c","CACNA1C","CACNA1C_Cacna1c"
"238","Cacnb1","CACNB1","CACNB1_Cacnb1"
"239","Cactin","CACTIN","CACTIN_Cactin"
"240","Cad","CAD","CAD_Cad"
"241","Calm3","CALM3","CALM3_Calm3"
"242","Calr","CALR","CALR_Calr"
"243","Calu","CALU","CALU_Calu"
"244","Camk1","CAMK1","CAMK1_Camk1"
"245","Camkk2","CAMKK2","CAMKK2_Camkk2"
"246","Camta1","CAMTA1","CAMTA1_Camta1"
"247","Cand1","CAND1","CAND1_Cand1"
"248","Cant1","CANT1","CANT1_Cant1"
"249","Capn1","CAPN1","CAPN1_Capn1"
"250","Capn10","CAPN10","CAPN10_Capn10"
"251","Capn2","CAPN2","CAPN2_Capn2"
"252","Capn7","CAPN7","CAPN7_Capn7"
"253","Capns1","CAPNS1","CAPNS1_Capns1"
"254","Caprin1","CAPRIN1","CAPRIN1_Caprin1"
"255","Caprin2","CAPRIN2","CAPRIN2_Caprin2"
"256","Capzb","CAPZB","CAPZB_Capzb"
"257","Carhsp1","CARHSP1","CARHSP1_Carhsp1"
"258","Cars2","CARS2","CARS2_Cars2"
"259","Casc3","CASC3","CASC3_Casc3"
"260","Caskin2","CASKIN2","CASKIN2_Caskin2"
"261","Cast","CAST","CAST_Cast"
"262","Catsper1","CATSPER1","CATSPER1_Catsper1"
"263","Cav1","CAV1","CAV1_Cav1"
"264","Cav2","CAV2","CAV2_Cav2"
"265","Cbfb","CBFB","CBFB_Cbfb"
"266","Cbx2","CBX2","CBX2_Cbx2"
"267","Cbx3","CBX3","CBX3_Cbx3"
"268","Cbx5","CBX5","CBX5_Cbx5"
"269","Cbx7","CBX7","CBX7_Cbx7"
"270","Cc2d1a","CC2D1A","CC2D1A_Cc2d1a"
"271","Ccar1","CCAR1","CCAR1_Ccar1"
"272","Ccar2","CCAR2","CCAR2_Ccar2"
"273","Ccdc102a","CCDC102A","CCDC102A_Ccdc102a"
"274","Ccdc107","CCDC107","CCDC107_Ccdc107"
"275","Ccdc112","CCDC112","CCDC112_Ccdc112"
"276","Ccdc117","CCDC117","CCDC117_Ccdc117"
"277","Ccdc122","CCDC122","CCDC122_Ccdc122"
"278","Ccdc134","CCDC134","CCDC134_Ccdc134"
"279","Ccdc136","CCDC136","CCDC136_Ccdc136"
"280","Ccdc137","CCDC137","CCDC137_Ccdc137"
"281","Ccdc152","CCDC152","CCDC152_Ccdc152"
"282","Ccdc47","CCDC47","CCDC47_Ccdc47"
"283","Ccdc6","CCDC6","CCDC6_Ccdc6"
"284","Ccdc8","CCDC8","CCDC8_Ccdc8"
"285","Ccdc80","CCDC80","CCDC80_Ccdc80"
"286","Ccdc85b","CCDC85B","CCDC85B_Ccdc85b"
"287","Ccm2","CCM2","CCM2_Ccm2"
"288","Ccnd3","CCND3","CCND3_Ccnd3"
"289","Ccng2","CCNG2","CCNG2_Ccng2"
"290","Ccnl2","CCNL2","CCNL2_Ccnl2"
"291","Ccser2","CCSER2","CCSER2_Ccser2"
"292","Cd109","CD109","CD109_Cd109"
"293","Cd248","CD248","CD248_Cd248"
"294","Cd47","CD47","CD47_Cd47"
"295","Cd63","CD63","CD63_Cd63"
"296","Cd81","CD81","CD81_Cd81"
"297","Cdc16","CDC16","CDC16_Cdc16"
"298","Cdc42bpb","CDC42BPB","CDC42BPB_Cdc42bpb"
"299","Cdc42ep1","CDC42EP1","CDC42EP1_Cdc42ep1"
"300","Cdc42ep3","CDC42EP3","CDC42EP3_Cdc42ep3"
"301","Cdc42ep4","CDC42EP4","CDC42EP4_Cdc42ep4"
"302","Cdc42se2","CDC42SE2","CDC42SE2_Cdc42se2"
"303","Cdc73","CDC73","CDC73_Cdc73"
"304","Cdh24","CDH24","CDH24_Cdh24"
"305","Cdk12","CDK12","CDK12_Cdk12"
"306","Cdk13","CDK13","CDK13_Cdk13"
"307","Cdk2ap2","CDK2AP2","CDK2AP2_Cdk2ap2"
"308","Cdk9","CDK9","CDK9_Cdk9"
"309","Cdkl2","CDKL2","CDKL2_Cdkl2"
"310","Cdkn2aipnl","CDKN2AIPNL","CDKN2AIPNL_Cdkn2aipnl"
"311","Cdkn2d","CDKN2D","CDKN2D_Cdkn2d"
"312","Cdkn3","CDKN3","CDKN3_Cdkn3"
"313","Cdr2","CDR2","CDR2_Cdr2"
"314","Cdv3","CDV3","CDV3_Cdv3"
"315","Cebpb","CEBPB","CEBPB_Cebpb"
"316","Cebpd","CEBPD","CEBPD_Cebpd"
"317","Cebpg","CEBPG","CEBPG_Cebpg"
"318","Cebpz","CEBPZ","CEBPZ_Cebpz"
"319","Celf1","CELF1","CELF1_Celf1"
"320","Cenpb","CENPB","CENPB_Cenpb"
"321","Cenpv","CENPV","CENPV_Cenpv"
"322","Cep164","CEP164","CEP164_Cep164"
"323","Cep55","CEP55","CEP55_Cep55"
"324","Cercam","CERCAM","CERCAM_Cercam"
"325","Cerk","CERK","CERK_Cerk"
"326","Cers2","CERS2","CERS2_Cers2"
"327","Cetn3","CETN3","CETN3_Cetn3"
"328","Cfd","CFD","CFD_Cfd"
"329","Cflar","CFLAR","CFLAR_Cflar"
"330","Chchd2","CHCHD2","CHCHD2_Chchd2"
"331","AU015836","CHCHD4","CHCHD4_AU015836"
"332","Chd1","CHD1","CHD1_Chd1"
"333","Chd2","CHD2","CHD2_Chd2"
"334","Chd3","CHD3","CHD3_Chd3"
"335","Chd4","CHD4","CHD4_Chd4"
"336","Chd9","CHD9","CHD9_Chd9"
"337","Chic2","CHIC2","CHIC2_Chic2"
"338","Chmp4b","CHMP4B","CHMP4B_Chmp4b"
"339","Chmp7","CHMP7","CHMP7_Chmp7"
"340","Chn1","CHN1","CHN1_Chn1"
"341","Chpf","CHPF","CHPF_Chpf"
"342","Chrac1","CHRAC1","CHRAC1_Chrac1"
"343","Chrdl1","CHRDL1","CHRDL1_Chrdl1"
"344","Chst10","CHST10","CHST10_Chst10"
"345","Chst12","CHST12","CHST12_Chst12"
"346","Chst14","CHST14","CHST14_Chst14"
"347","Chtf8","CHTF8","CHTF8_Chtf8"
"348","Chuk","CHUK","CHUK_Chuk"
"349","Ciapin1","CIAPIN1","CIAPIN1_Ciapin1"
"350","Cic","CIC","CIC_Cic"
"351","Cisd3","CISD3","CISD3_Cisd3"
"352","Ciz1","CIZ1","CIZ1_Ciz1"
"353","Ckap4","CKAP4","CKAP4_Ckap4"
"354","Clcn5","CLCN5","CLCN5_Clcn5"
"355","Clec14a","CLEC14A","CLEC14A_Clec14a"
"356","Clic4","CLIC4","CLIC4_Clic4"
"357","Clint1","CLINT1","CLINT1_Clint1"
"358","Clip4","CLIP4","CLIP4_Clip4"
"359","Clk2","CLK2","CLK2_Clk2"
"360","Cln3","CLN3","CLN3_Cln3"
"361","Cln5","CLN5","CLN5_Cln5"
"362","Clptm1","CLPTM1","CLPTM1_Clptm1"
"363","Clstn1","CLSTN1","CLSTN1_Clstn1"
"364","Cltb","CLTB","CLTB_Cltb"
"365","Cmas","CMAS","CMAS_Cmas"
"366","Cmpk1","CMPK1","CMPK1_Cmpk1"
"367","Cmtm6","CMTM6","CMTM6_Cmtm6"
"368","Cmtm7","CMTM7","CMTM7_Cmtm7"
"369","Cmtr2","CMTR2","CMTR2_Cmtr2"
"370","Cndp2","CNDP2","CNDP2_Cndp2"
"371","Cnep1r1","CNEP1R1","CNEP1R1_Cnep1r1"
"372","Cnih4","CNIH4","CNIH4_Cnih4"
"373","Cnksr3","CNKSR3","CNKSR3_Cnksr3"
"374","Cnn1","CNN1","CNN1_Cnn1"
"375","Cnn3","CNN3","CNN3_Cnn3"
"376","Cnnm4","CNNM4","CNNM4_Cnnm4"
"377","Cnot11","CNOT11","CNOT11_Cnot11"
"378","Cnot4","CNOT4","CNOT4_Cnot4"
"379","Cnot6l","CNOT6L","CNOT6L_Cnot6l"
"380","Cnp","CNP","CNP_Cnp"
"381","Cnpy2","CNPY2","CNPY2_Cnpy2"
"382","Cog1","COG1","COG1_Cog1"
"383","Col12a1","COL12A1","COL12A1_Col12a1"
"384","Col15a1","COL15A1","COL15A1_Col15a1"
"385","Col16a1","COL16A1","COL16A1_Col16a1"
"386","Col27a1","COL27A1","COL27A1_Col27a1"
"387","Col6a3","COL6A3","COL6A3_Col6a3"
"388","Col8a2","COL8A2","COL8A2_Col8a2"
"389","Colec12","COLEC12","COLEC12_Colec12"
"390","Commd7","COMMD7","COMMD7_Commd7"
"391","Coprs","COPRS","COPRS_Coprs"
"392","Cops5","COPS5","COPS5_Cops5"
"393","Cops8","COPS8","COPS8_Cops8"
"394","Coq6","COQ6","COQ6_Coq6"
"395","Coro1c","CORO1C","CORO1C_Coro1c"
"396","Coro2a","CORO2A","CORO2A_Coro2a"
"397","Cotl1","COTL1","COTL1_Cotl1"
"398","Cox11","COX11","COX11_Cox11"
"399","Cox4i1","COX4I1","COX4I1_Cox4i1"
"400","Cox7a1","COX7A1","COX7A1_Cox7a1"
"401","Cpd","CPD","CPD_Cpd"
"402","Cped1","CPED1","CPED1_Cped1"
"403","Cpne2","CPNE2","CPNE2_Cpne2"
"404","Cpsf4","CPSF4","CPSF4_Cpsf4"
"405","Cpxm1","CPXM1","CPXM1_Cpxm1"
"406","Creb3","CREB3","CREB3_Creb3"
"407","Crebbp","CREBBP","CREBBP_Crebbp"
"408","Crebl2","CREBL2","CREBL2_Crebl2"
"409","Creld2","CRELD2","CRELD2_Creld2"
"410","Crem","CREM","CREM_Crem"
"411","Crip2","CRIP2","CRIP2_Crip2"
"412","Crlf3","CRLF3","CRLF3_Crlf3"
"413","Crocc","CROCC","CROCC_Crocc"
"414","Crtc2","CRTC2","CRTC2_Crtc2"
"415","Csf1","CSF1","CSF1_Csf1"
"416","Csgalnact2","CSGALNACT2","CSGALNACT2_Csgalnact2"
"417","Csnk1g1","CSNK1G1","CSNK1G1_Csnk1g1"
"418","Csrnp1","CSRNP1","CSRNP1_Csrnp1"
"419","Cst3","CST3","CST3_Cst3"
"420","Cst6","CST6","CST6_Cst6"
"421","Cstb","CSTB","CSTB_Cstb"
"422","Ctbp1","CTBP1","CTBP1_Ctbp1"
"423","Ctbs","CTBS","CTBS_Ctbs"
"424","Ctdp1","CTDP1","CTDP1_Ctdp1"
"425","Ctdsp1","CTDSP1","CTDSP1_Ctdsp1"
"426","Ctnnal1","CTNNAL1","CTNNAL1_Ctnnal1"
"427","Ctnnb1","CTNNB1","CTNNB1_Ctnnb1"
"428","Ctns","CTNS","CTNS_Ctns"
"429","Ctsf","CTSF","CTSF_Ctsf"
"430","Ctso","CTSO","CTSO_Ctso"
"431","Cttn","CTTN","CTTN_Cttn"
"432","Ctu2","CTU2","CTU2_Ctu2"
"433","Ctxn1","CTXN1","CTXN1_Ctxn1"
"434","Cuedc1","CUEDC1","CUEDC1_Cuedc1"
"435","Cul1","CUL1","CUL1_Cul1"
"436","Cul4a","CUL4A","CUL4A_Cul4a"
"437","Cul7","CUL7","CUL7_Cul7"
"438","Cxcl5","CXCL6","CXCL6_Cxcl5"
"439","Cyb561d1","CYB561D1","CYB561D1_Cyb561d1"
"440","Cyb5r1","CYB5R1","CYB5R1_Cyb5r1"
"441","Cyb5r3","CYB5R3","CYB5R3_Cyb5r3"
"442","Cybrd1","CYBRD1","CYBRD1_Cybrd1"
"443","Cyc1","CYC1","CYC1_Cyc1"
"444","Cyhr1","CYHR1","CYHR1_Cyhr1"
"445","Cyp20a1","CYP20A1","CYP20A1_Cyp20a1"
"446","Cyp27a1","CYP27A1","CYP27A1_Cyp27a1"
"447","Cyp2u1","CYP2U1","CYP2U1_Cyp2u1"
"448","Cyp51","CYP51A1","CYP51A1_Cyp51"
"449","Cyth1","CYTH1","CYTH1_Cyth1"
"450","Cyth2","CYTH2","CYTH2_Cyth2"
"451","Cyth3","CYTH3","CYTH3_Cyth3"
"452","Daam2","DAAM2","DAAM2_Daam2"
"453","Dazap1","DAZAP1","DAZAP1_Dazap1"
"454","Dbn1","DBN1","DBN1_Dbn1"
"455","Dbndd2","DBNDD2","DBNDD2_Dbndd2"
"456","Dcaf10","DCAF10","DCAF10_Dcaf10"
"457","Dcaf13","DCAF13","DCAF13_Dcaf13"
