"","MGI.symbol","HGNC.symbol","pair"
"999","Lhfpl2","LHFPL2","LHFPL2_Lhfpl2"
"1000","Lhpp","LHPP","LHPP_Lhpp"
"1001","Limk1","LIMK1","LIMK1_Limk1"
"1002","Lix1l","LIX1L","LIX1L_Lix1l"
"1003","Lmbr1l","LMBR1L","LMBR1L_Lmbr1l"
"1004","Lmnb2","LMNB2","LMNB2_Lmnb2"
"1005","Lmo4","LMO4","LMO4_Lmo4"
"1006","Lmo7","LMO7","LMO7_Lmo7"
"1007","Lonp1","LONP1","LONP1_Lonp1"
"1008","Loxl1","LOXL1","LOXL1_Loxl1"
"1009","Loxl3","LOXL3","LOXL3_Loxl3"
"1010","Lpgat1","LPGAT1","LPGAT1_Lpgat1"
"1011","Lpin2","LPIN2","LPIN2_Lpin2"
"1012","Lpp","LPP","LPP_Lpp"
"1013","Lrch2","LRCH2","LRCH2_Lrch2"
"1014","Lrig3","LRIG3","LRIG3_Lrig3"
"1015","Lrp10","LRP10","LRP10_Lrp10"
"1016","Lrp12","LRP12","LRP12_Lrp12"
"1017","Lrp5","LRP5","LRP5_Lrp5"
"1018","Lrp6","LRP6","LRP6_Lrp6"
"1019","Lrpprc","LRPPRC","LRPPRC_Lrpprc"
"1020","Lrrc1","LRRC1","LRRC1_Lrrc1"
"1021","Lrrc15","LRRC15","LRRC15_Lrrc15"
"1022","Lrrc29","LRRC29","LRRC29_Lrrc29"
"1023","Lrrc34","LRRC34","LRRC34_Lrrc34"
"1024","Lrrc41","LRRC41","LRRC41_Lrrc41"
"1025","Lrrc58","LRRC58","LRRC58_Lrrc58"
"1026","Lrrc59","LRRC59","LRRC59_Lrrc59"
"1027","Lrrc8c","LRRC8C","LRRC8C_Lrrc8c"
"1028","Lrrc8d","LRRC8D","LRRC8D_Lrrc8d"
"1029","Lrrfip1","LRRFIP1","LRRFIP1_Lrrfip1"
"1030","Lrwd1","LRWD1","LRWD1_Lrwd1"
"1031","Lsm14a","LSM14A","LSM14A_Lsm14a"
"1032","Lsm4","LSM4","LSM4_Lsm4"
"1033","Ltbp4","LTBP4","LTBP4_Ltbp4"
"1034","Ltbr","LTBR","LTBR_Ltbr"
"1035","Luc7l3","LUC7L3","LUC7L3_Luc7l3"
"1036","Lypla1","LYPLA1","LYPLA1_Lypla1"
"1037","Lypla2","LYPLA2","LYPLA2_Lypla2"
"1038","Lyst","LYST","LYST_Lyst"
"1039","Lzts2","LZTS2","LZTS2_Lzts2"
"1040","Mad2l2","MAD2L2","MAD2L2_Mad2l2"
"1041","Madd","MADD","MADD_Madd"
"1042","Maf1","MAF1","MAF1_Maf1"
"1043","Maged2","MAGED2","MAGED2_Maged2"
"1044","Malt1","MALT1","MALT1_Malt1"
"1045","Mamdc2","MAMDC2","MAMDC2_Mamdc2"
"1046","Man1b1","MAN1B1","MAN1B1_Man1b1"
"1047","Man2a1","MAN2A1","MAN2A1_Man2a1"
"1048","Maneal","MANEAL","MANEAL_Maneal"
"1049","Manf","MANF","MANF_Manf"
"1050","Map3k12","MAP3K12","MAP3K12_Map3k12"
"1051","Map3k13","MAP3K13","MAP3K13_Map3k13"
"1052","Map3k6","MAP3K6","MAP3K6_Map3k6"
"1053","Map3k7","MAP3K7","MAP3K7_Map3k7"
"1054","Map4k2","MAP4K2","MAP4K2_Map4k2"
"1055","Map4k5","MAP4K5","MAP4K5_Map4k5"
"1056","Map7d1","MAP7D1","MAP7D1_Map7d1"
"1057","Map9","MAP9","MAP9_Map9"
"1058","Mapk12","MAPK12","MAPK12_Mapk12"
"1059","Mapk3","MAPK3","MAPK3_Mapk3"
"1060","Mapk8ip3","MAPK8IP3","MAPK8IP3_Mapk8ip3"
"1061","Mapkapk2","MAPKAPK2","MAPKAPK2_Mapkapk2"
"1062","Mark4","MARK4","MARK4_Mark4"
"1063","Marveld2","MARVELD2","MARVELD2_Marveld2"
"1064","Mast4","MAST4","MAST4_Mast4"
"1065","Mau2","MAU2","MAU2_Mau2"
"1066","Mbd2","MBD2","MBD2_Mbd2"
"1067","Mbd3","MBD3","MBD3_Mbd3"
"1068","Mbd5","MBD5","MBD5_Mbd5"
"1069","Mbd6","MBD6","MBD6_Mbd6"
"1070","Mbtps1","MBTPS1","MBTPS1_Mbtps1"
"1071","Mcat","MCAT","MCAT_Mcat"
"1072","Mccc2","MCCC2","MCCC2_Mccc2"
"1073","Mcfd2","MCFD2","MCFD2_Mcfd2"
"1074","Mcl1","MCL1","MCL1_Mcl1"
"1075","Mcm3ap","MCM3AP","MCM3AP_Mcm3ap"
"1076","Mcm9","MCM9","MCM9_Mcm9"
"1077","Mcmbp","MCMBP","MCMBP_Mcmbp"
"1078","Mcu","MCU","MCU_Mcu"
"1079","Mdm2","MDM2","MDM2_Mdm2"
"1080","Me2","ME2","ME2_Me2"
"1081","Metap2","METAP2","METAP2_Metap2"
"1082","Metrn","METRN","METRN_Metrn"
"1083","Mettl21a","METTL21A","METTL21A_Mettl21a"
"1084","Mettl9","METTL9","METTL9_Mettl9"
"1085","Mfap2","MFAP2","MFAP2_Mfap2"
"1086","Mfsd10","MFSD10","MFSD10_Mfsd10"
"1087","Mfsd2a","MFSD2A","MFSD2A_Mfsd2a"
"1088","Mfsd5","MFSD5","MFSD5_Mfsd5"
"1089","Mfsd6","MFSD6","MFSD6_Mfsd6"
"1090","Mgat1","MGAT1","MGAT1_Mgat1"
"1091","Mgat4b","MGAT4B","MGAT4B_Mgat4b"
"1092","Mgll","MGLL","MGLL_Mgll"
"1093","Mib2","MIB2","MIB2_Mib2"
"1094","Micu2","MICU2","MICU2_Micu2"
"1095","Mid1ip1","MID1IP1","MID1IP1_Mid1ip1"
"1096","Mien1","MIEN1","MIEN1_Mien1"
"1097","Mink1","MINK1","MINK1_Mink1"
"1098","Mios","MIOS","MIOS_Mios"
"1099","Mir152","MIR152","MIR152_Mir152"
"1100","Mir193a","MIR193A","MIR193A_Mir193a"
"1101","Mir199a-2","MIR199A2","MIR199A2_Mir199a-2"
"1102","Mir29b-1","MIR29B1","MIR29B1_Mir29b-1"
"1103","Mitd1","MITD1","MITD1_Mitd1"
"1104","Mki67","MKI67","MKI67_Mki67"
"1105","Mknk1","MKNK1","MKNK1_Mknk1"
"1106","Mknk2","MKNK2","MKNK2_Mknk2"
"1107","Mkrn1","MKRN1","MKRN1_Mkrn1"
"1108","Mkx","MKX","MKX_Mkx"
"1109","Mlec","MLEC","MLEC_Mlec"
"1110","Mlf2","MLF2","MLF2_Mlf2"
"1111","Mllt1","MLLT1","MLLT1_Mllt1"
"1112","Mllt6","MLLT6","MLLT6_Mllt6"
"1113","Mlst8","MLST8","MLST8_Mlst8"
"1114","Mmadhc","MMADHC","MMADHC_Mmadhc"
"1115","Mmd","MMD","MMD_Mmd"
"1116","Mme","MME","MME_Mme"
"1117","Mmp14","MMP14","MMP14_Mmp14"
"1118","Mmp16","MMP16","MMP16_Mmp16"
"1119","Mmp17","MMP17","MMP17_Mmp17"
"1120","Mmp2","MMP2","MMP2_Mmp2"
"1121","Mn1","MN1","MN1_Mn1"
"1122","Mocos","MOCOS","MOCOS_Mocos"
"1123","Mogs","MOGS","MOGS_Mogs"
"1124","Morn3","MORN3","MORN3_Morn3"
"1125","Moxd1","MOXD1","MOXD1_Moxd1"
"1126","Mpg","MPG","MPG_Mpg"
"1127","Mphosph8","MPHOSPH8","MPHOSPH8_Mphosph8"
"1128","Mpp6","MPP6","MPP6_Mpp6"
"1129","Mpst","MPST","MPST_Mpst"
"1130","Mpv17l2","MPV17L2","MPV17L2_Mpv17l2"
"1131","Mras","MRAS","MRAS_Mras"
"1132","Mrgbp","MRGBP","MRGBP_Mrgbp"
"1133","Mrpl14","MRPL14","MRPL14_Mrpl14"
"1134","Mrpl20","MRPL20","MRPL20_Mrpl20"
"1135","Mrpl24","MRPL24","MRPL24_Mrpl24"
"1136","Mrpl4","MRPL4","MRPL4_Mrpl4"
"1137","Mrpl40","MRPL40","MRPL40_Mrpl40"
"1138","Mrpl41","MRPL41","MRPL41_Mrpl41"
"1139","Mrpl52","MRPL52","MRPL52_Mrpl52"
"1140","Mrps11","MRPS11","MRPS11_Mrps11"
"1141","Mrps12","MRPS12","MRPS12_Mrps12"
"1142","Mrps16","MRPS16","MRPS16_Mrps16"
"1143","Mrps26","MRPS26","MRPS26_Mrps26"
"1144","Mrps7","MRPS7","MRPS7_Mrps7"
"1145","Msl1","MSL1","MSL1_Msl1"
"1146","Msrb2","MSRB2","MSRB2_Msrb2"
"1147","Mt2","MT1X","MT1X_Mt2"
"1148","Mta2","MTA2","MTA2_Mta2"
"1149","Mta3","MTA3","MTA3_Mta3"
"1150","Mtch1","MTCH1","MTCH1_Mtch1"
"1151","Mthfd2","MTHFD2","MTHFD2_Mthfd2"
"1152","Mtmr12","MTMR12","MTMR12_Mtmr12"
"1153","Mtmr14","MTMR14","MTMR14_Mtmr14"
"1154","Mtmr3","MTMR3","MTMR3_Mtmr3"
"1155","Mtmr4","MTMR4","MTMR4_Mtmr4"
"1156","Mtrf1l","MTRF1L","MTRF1L_Mtrf1l"
"1157","Mtus1","MTUS1","MTUS1_Mtus1"
"1158","Mvk","MVK","MVK_Mvk"
"1159","Mxd4","MXD4","MXD4_Mxd4"
"1160","Myh9","MYH9","MYH9_Myh9"
"1161","Myl12a","MYL12A","MYL12A_Myl12a"
"1162","Mylip","MYLIP","MYLIP_Mylip"
"1163","Myo1b","MYO1B","MYO1B_Myo1b"
"1164","Myo1c","MYO1C","MYO1C_Myo1c"
"1165","Myo1d","MYO1D","MYO1D_Myo1d"
"1166","Myo1e","MYO1E","MYO1E_Myo1e"
"1167","Myo9a","MYO9A","MYO9A_Myo9a"
"1168","Myom1","MYOM1","MYOM1_Myom1"
"1169","Myrf","MYRF","MYRF_Myrf"
"1170","Naa30","NAA30","NAA30_Naa30"
"1171","Naaa","NAAA","NAAA_Naaa"
"1172","Naaladl2","NAALADL2","NAALADL2_Naaladl2"
"1173","Nab1","NAB1","NAB1_Nab1"
"1174","Nab2","NAB2","NAB2_Nab2"
"1175","Nacad","NACAD","NACAD_Nacad"
"1176","Nadk","NADK","NADK_Nadk"
"1177","Nadk2","NADK2","NADK2_Nadk2"
"1178","Nags","NAGS","NAGS_Nags"
"1179","Naif1","NAIF1","NAIF1_Naif1"
"1180","Nap1l1","NAP1L1","NAP1L1_Nap1l1"
"1181","Nap1l4","NAP1L4","NAP1L4_Nap1l4"
"1182","Nav3","NAV3","NAV3_Nav3"
"1183","Ncald","NCALD","NCALD_Ncald"
"1184","Ncbp1","NCBP1","NCBP1_Ncbp1"
"1185","Nckap1","NCKAP1","NCKAP1_Nckap1"
"1186","Ncl","NCL","NCL_Ncl"
"1187","Ncln","NCLN","NCLN_Ncln"
"1188","Ncoa3","NCOA3","NCOA3_Ncoa3"
"1189","Ncor1","NCOR1","NCOR1_Ncor1"
"1190","Ndel1","NDEL1","NDEL1_Ndel1"
"1191","Ndst1","NDST1","NDST1_Ndst1"
"1192","Ndst2","NDST2","NDST2_Ndst2"
"1193","Ndufaf3","NDUFAF3","NDUFAF3_Ndufaf3"
"1194","Ndufaf6","NDUFAF6","NDUFAF6_Ndufaf6"
"1195","Ndufb10","NDUFB10","NDUFB10_Ndufb10"
"1196","Ndufs3","NDUFS3","NDUFS3_Ndufs3"
"1197","Ndufs7","NDUFS7","NDUFS7_Ndufs7"
"1198","Ndufs8","NDUFS8","NDUFS8_Ndufs8"
"1199","Necap2","NECAP2","NECAP2_Necap2"
"1200","Nek6","NEK6","NEK6_Nek6"
"1201","Nek7","NEK7","NEK7_Nek7"
"1202","Nek9","NEK9","NEK9_Nek9"
"1203","Nelfb","NELFB","NELFB_Nelfb"
"1204","Nenf","NENF","NENF_Nenf"
"1205","Neo1","NEO1","NEO1_Neo1"
"1206","Nexn","NEXN","NEXN_Nexn"
"1207","Nfatc1","NFATC1","NFATC1_Nfatc1"
"1208","Nfatc2ip","NFATC2IP","NFATC2IP_Nfatc2ip"
"1209","Nfe2l1","NFE2L1","NFE2L1_Nfe2l1"
"1210","Nfe2l2","NFE2L2","NFE2L2_Nfe2l2"
"1211","Nfix","NFIX","NFIX_Nfix"
"1212","Nfkbib","NFKBIB","NFKBIB_Nfkbib"
"1213","Nfkbid","NFKBID","NFKBID_Nfkbid"
"1214","Nfs1","NFS1","NFS1_Nfs1"
"1215","Nfxl1","NFXL1","NFXL1_Nfxl1"
"1216","Nfyc","NFYC","NFYC_Nfyc"
"1217","Ngly1","NGLY1","NGLY1_Ngly1"
"1218","Ngrn","NGRN","NGRN_Ngrn"
"1219","Nid2","NID2","NID2_Nid2"
"1220","Nin","NIN","NIN_Nin"
"1221","Ninj1","NINJ1","NINJ1_Ninj1"
"1222","Nipa1","NIPA1","NIPA1_Nipa1"
"1223","Nipal2","NIPAL2","NIPAL2_Nipal2"
"1224","Nkapl","NKAPL","NKAPL_Nkapl"
"1225","Nlgn2","NLGN2","NLGN2_Nlgn2"
"1226","Nln","NLN","NLN_Nln"
"1227","Nme4","NME4","NME4_Nme4"
"1228","Nmt2","NMT2","NMT2_Nmt2"
"1229","Nnmt","NNMT","NNMT_Nnmt"
"1230","Noc4l","NOC4L","NOC4L_Noc4l"
"1231","Nol7","NOL7","NOL7_Nol7"
"1232","Nom1","NOM1","NOM1_Nom1"
"1233","Nop14","NOP14","NOP14_Nop14"
"1234","Notch2","NOTCH2","NOTCH2_Notch2"
"1235","Npb","NPB","NPB_Npb"
"1236","Npepl1","NPEPL1","NPEPL1_Npepl1"
"1237","Npw","NPW","NPW_Npw"
"1238","Nr2c2ap","NR2C2AP","NR2C2AP_Nr2c2ap"
"1239","Nr2f2","NR2F2","NR2F2_Nr2f2"
"1240","Nr2f6","NR2F6","NR2F6_Nr2f6"
"1241","Nr3c1","NR3C1","NR3C1_Nr3c1"
"1242","Nrbp2","NRBP2","NRBP2_Nrbp2"
"1243","Nrep","NREP","NREP_Nrep"
"1244","Nrip1","NRIP1","NRIP1_Nrip1"
"1245","Nrp1","NRP1","NRP1_Nrp1"
"1246","Nrsn2","NRSN2","NRSN2_Nrsn2"
"1247","Nsd1","NSD1","NSD1_Nsd1"
"1248","Nsmaf","NSMAF","NSMAF_Nsmaf"
"1249","Nsmf","NSMF","NSMF_Nsmf"
"1250","Nsun2","NSUN2","NSUN2_Nsun2"
"1251","Nt5c","NT5C","NT5C_Nt5c"
"1252","Nt5c3b","NT5C3B","NT5C3B_Nt5c3b"
"1253","Nt5dc2","NT5DC2","NT5DC2_Nt5dc2"
"1254","Nt5e","NT5E","NT5E_Nt5e"
"1255","Nthl1","NTHL1","NTHL1_Nthl1"
"1256","Ntn4","NTN4","NTN4_Ntn4"
"1257","Nudt22","NUDT22","NUDT22_Nudt22"
"1258","Nudt3","NUDT3","NUDT3_Nudt3"
"1259","Numbl","NUMBL","NUMBL_Numbl"
"1260","Nup153","NUP153","NUP153_Nup153"
"1261","Nup98","NUP98","NUP98_Nup98"
"1262","Nus1","NUS1","NUS1_Nus1"
"1263","Nxpe3","NXPE3","NXPE3_Nxpe3"
"1264","Nxph4","NXPH4","NXPH4_Nxph4"
"1265","Oaz2","OAZ2","OAZ2_Oaz2"
"1266","Obsl1","OBSL1","OBSL1_Obsl1"
"1267","Odc1","ODC1","ODC1_Odc1"
"1268","Ogfod3","OGFOD3","OGFOD3_Ogfod3"
"1269","Ogfr","OGFR","OGFR_Ogfr"
"1270","Opa1","OPA1","OPA1_Opa1"
"1271","Opn3","OPN3","OPN3_Opn3"
"1272","Orc5","ORC5","ORC5_Orc5"
"1273","Osbp","OSBP","OSBP_Osbp"
"1274","Osbpl11","OSBPL11","OSBPL11_Osbpl11"
"1275","Osbpl1a","OSBPL1A","OSBPL1A_Osbpl1a"
"1276","Osgep","OSGEP","OSGEP_Osgep"
"1277","Osgin2","OSGIN2","OSGIN2_Osgin2"
"1278","Ostm1","OSTM1","OSTM1_Ostm1"
"1279","Oxld1","OXLD1","OXLD1_Oxld1"
"1280","Oxsr1","OXSR1","OXSR1_Oxsr1"
"1281","P4ha3","P4HA3","P4HA3_P4ha3"
"1282","P4hb","P4HB","P4HB_P4hb"
"1283","P4htm","P4HTM","P4HTM_P4htm"
"1284","Pafah1b1","PAFAH1B1","PAFAH1B1_Pafah1b1"
"1285","Pafah1b2","PAFAH1B2","PAFAH1B2_Pafah1b2"
"1286","Paip1","PAIP1","PAIP1_Paip1"
"1287","Palld","PALLD","PALLD_Palld"
"1288","Palm3","PALM3","PALM3_Palm3"
"1289","Pank2","PANK2","PANK2_Pank2"
"1290","Panx1","PANX1","PANX1_Panx1"
"1291","Papola","PAPOLA","PAPOLA_Papola"
"1292","Papss2","PAPSS2","PAPSS2_Papss2"
"1293","Paqr4","PAQR4","PAQR4_Paqr4"
"1294","Parl","PARL","PARL_Parl"
"1295","Parp1","PARP1","PARP1_Parp1"
"1296","Parp6","PARP6","PARP6_Parp6"
"1297","Parp8","PARP8","PARP8_Parp8"
"1298","Parp9","PARP9","PARP9_Parp9"
"1299","Patl1","PATL1","PATL1_Patl1"
"1300","Pbrm1","PBRM1","PBRM1_Pbrm1"
"1301","Pcbd2","PCBD2","PCBD2_Pcbd2"
"1302","Pcbp4","PCBP4","PCBP4_Pcbp4"
"1303","Pcdhgc5","PCDHGC5","PCDHGC5_Pcdhgc5"
"1304","Pcgf1","PCGF1","PCGF1_Pcgf1"
"1305","Pcmtd2","PCMTD2","PCMTD2_Pcmtd2"
"1306","Pcolce","PCOLCE","PCOLCE_Pcolce"
"1307","Pcyt2","PCYT2","PCYT2_Pcyt2"
"1308","Pdcd11","PDCD11","PDCD11_Pdcd11"
"1309","Pdcd5","PDCD5","PDCD5_Pdcd5"
"1310","Pde12","PDE12","PDE12_Pde12"
"1311","Pde1c","PDE1C","PDE1C_Pde1c"
"1312","Pde4dip","PDE4DIP","PDE4DIP_Pde4dip"
"1313","Pde8a","PDE8A","PDE8A_Pde8a"
"1314","Pde9a","PDE9A","PDE9A_Pde9a"
"1315","Pdgfd","PDGFD","PDGFD_Pdgfd"
"1316","Pdgfra","PDGFRA","PDGFRA_Pdgfra"
"1317","Pdgfrb","PDGFRB","PDGFRB_Pdgfrb"
"1318","Pdhx","PDHX","PDHX_Pdhx"
"1319","Pdia3","PDIA3","PDIA3_Pdia3"
"1320","Pdia5","PDIA5","PDIA5_Pdia5"
"1321","Pdia6","PDIA6","PDIA6_Pdia6"
"1322","Pdlim5","PDLIM5","PDLIM5_Pdlim5"
"1323","Pdlim7","PDLIM7","PDLIM7_Pdlim7"
"1324","Pds5a","PDS5A","PDS5A_Pds5a"
"1325","Pdxdc1","PDXDC1","PDXDC1_Pdxdc1"
"1326","Pdxk","PDXK","PDXK_Pdxk"
"1327","Pdxp","PDXP","PDXP_Pdxp"
"1328","Pdzd8","PDZD8","PDZD8_Pdzd8"
"1329","Pea15a","PEA15","PEA15_Pea15a"
"1330","Peli3","PELI3","PELI3_Peli3"
"1331","Perp","PERP","PERP_Perp"
"1332","Pex1","PEX1","PEX1_Pex1"
"1333","Pex10","PEX10","PEX10_Pex10"
"1334","Pex6","PEX6","PEX6_Pex6"
"1335","Pfdn2","PFDN2","PFDN2_Pfdn2"
"1336","Pfn1","PFN1","PFN1_Pfn1"
"1337","Pfn2","PFN2","PFN2_Pfn2"
"1338","Pgam1","PGAM1","PGAM1_Pgam1"
"1339","Pgam5","PGAM5","PGAM5_Pgam5"
"1340","Pgbd1","PGBD1","PGBD1_Pgbd1"
"1341","Pgls","PGLS","PGLS_Pgls"
"1342","Pgm2l1","PGM2L1","PGM2L1_Pgm2l1"
"1343","Pgm5","PGM5","PGM5_Pgm5"
"1344","Pgrmc1","PGRMC1","PGRMC1_Pgrmc1"
"1345","Pgrmc2","PGRMC2","PGRMC2_Pgrmc2"
"1346","Phc1","PHC1","PHC1_Phc1"
"1347","Phf10","PHF10","PHF10_Phf10"
"1348","Phf20l1","PHF20L1","PHF20L1_Phf20l1"
"1349","Phf23","PHF23","PHF23_Phf23"
"1350","Phf3","PHF3","PHF3_Phf3"
"1351","Phgdh","PHGDH","PHGDH_Phgdh"
"1352","Phlda3","PHLDA3","PHLDA3_Phlda3"
"1353","Phldb2","PHLDB2","PHLDB2_Phldb2"
"1354","Phlpp2","PHLPP2","PHLPP2_Phlpp2"
"1355","Phospho2","PHOSPHO2","PHOSPHO2_Phospho2"
"1356","Phrf1","PHRF1","PHRF1_Phrf1"
"1357","Phykpl","PHYKPL","PHYKPL_Phykpl"
"1358","Pi4k2b","PI4K2B","PI4K2B_Pi4k2b"
"1359","Pias2","PIAS2","PIAS2_Pias2"
"1360","Pigc","PIGC","PIGC_Pigc"
"1361","Pigo","PIGO","PIGO_Pigo"
"1362","Pigt","PIGT","PIGT_Pigt"
"1363","Pigw","PIGW","PIGW_Pigw"
"1364","Pigx","PIGX","PIGX_Pigx"
"1365","Pik3cb","PIK3CB","PIK3CB_Pik3cb"
"1366","Pik3cd","PIK3CD","PIK3CD_Pik3cd"
"1367","Pik3ip1","PIK3IP1","PIK3IP1_Pik3ip1"
"1368","Pik3r1","PIK3R1","PIK3R1_Pik3r1"
"1369","Pik3r2","PIK3R2","PIK3R2_Pik3r2"
"1370","Pim1","PIM1","PIM1_Pim1"
"1371","Pim3","PIM3","PIM3_Pim3"
"1372","Pip5k1c","PIP5K1C","PIP5K1C_Pip5k1c"
"1373","Pithd1","PITHD1","PITHD1_Pithd1"
"1374","Pitpna","PITPNA","PITPNA_Pitpna"
"1375","Pitpnm1","PITPNM1","PITPNM1_Pitpnm1"
"1376","Pkd2","PKD2","PKD2_Pkd2"
"1377","Pkn1","PKN1","PKN1_Pkn1"
"1378","Pkn2","PKN2","PKN2_Pkn2"
"1379","Pkn3","PKN3","PKN3_Pkn3"
"1380","Pkp4","PKP4","PKP4_Pkp4"
"1381","Pla2g15","PLA2G15","PLA2G15_Pla2g15"
"1382","Plagl1","PLAGL1","PLAGL1_Plagl1"
"1383","Plbd2","PLBD2","PLBD2_Plbd2"
"1384","Plcb3","PLCB3","PLCB3_Plcb3"
"1385","Plcg1","PLCG1","PLCG1_Plcg1"
"1386","Plcxd1","PLCXD1","PLCXD1_Plcxd1"
"1387","Plec","PLEC","PLEC_Plec"
"1388","Plek2","PLEK2","PLEK2_Plek2"
"1389","Plekha2","PLEKHA2","PLEKHA2_Plekha2"
"1390","Plekha4","PLEKHA4","PLEKHA4_Plekha4"
"1391","Plekhf2","PLEKHF2","PLEKHF2_Plekhf2"
"1392","Plekhg2","PLEKHG2","PLEKHG2_Plekhg2"
"1393","Plekhh3","PLEKHH3","PLEKHH3_Plekhh3"
"1394","Plekhj1","PLEKHJ1","PLEKHJ1_Plekhj1"
"1395","Plekhm1","PLEKHM1","PLEKHM1_Plekhm1"
"1396","Plekho1","PLEKHO1","PLEKHO1_Plekho1"
"1397","Plekho2","PLEKHO2","PLEKHO2_Plekho2"
"1398","Plin2","PLIN2","PLIN2_Plin2"
"1399","Plin3","PLIN3","PLIN3_Plin3"
"1400","Plk3","PLK3","PLK3_Plk3"
"1401","Plod2","PLOD2","PLOD2_Plod2"
"1402","Plod3","PLOD3","PLOD3_Plod3"
"1403","Pmpca","PMPCA","PMPCA_Pmpca"
"1404","Pnpla2","PNPLA2","PNPLA2_Pnpla2"
"1405","Pnpla6","PNPLA6","PNPLA6_Pnpla6"
"1406","Podn","PODN","PODN_Podn"
"1407","Podnl1","PODNL1","PODNL1_Podnl1"
"1408","Pogk","POGK","POGK_Pogk"
"1409","Pold1","POLD1","POLD1_Pold1"
"1410","Pole3","POLE3","POLE3_Pole3"
"1411","Pole4","POLE4","POLE4_Pole4"
"1412","Polg","POLG","POLG_Polg"
"1413","Poli","POLI","POLI_Poli"
"1414","Polr2h","POLR2H","POLR2H_Polr2h"
"1415","Polr2l","POLR2L","POLR2L_Polr2l"
"1416","Polr3h","POLR3H","POLR3H_Polr3h"
"1417","Polrmt","POLRMT","POLRMT_Polrmt"
"1418","Pomgnt1","POMGNT1","POMGNT1_Pomgnt1"
"1419","Pomgnt2","POMGNT2","POMGNT2_Pomgnt2"
"1420","Pop5","POP5","POP5_Pop5"
"1421","Popdc2","POPDC2","POPDC2_Popdc2"
"1422","Ppara","PPARA","PPARA_Ppara"
"1423","Ppcs","PPCS","PPCS_Ppcs"
"1424","Ppfia3","PPFIA3","PPFIA3_Ppfia3"
"1425","Ppil1","PPIL1","PPIL1_Ppil1"
"1426","Ppil6","PPIL6","PPIL6_Ppil6"
"1427","Ppm1g","PPM1G","PPM1G_Ppm1g"
"1428","Ppm1k","PPM1K","PPM1K_Ppm1k"
"1429","Ppp1ca","PPP1CA","PPP1CA_Ppp1ca"
"1430","Ppp1cb","PPP1CB","PPP1CB_Ppp1cb"
"1431","Ppp1cc","PPP1CC","PPP1CC_Ppp1cc"
"1432","Ppp1r12a","PPP1R12A","PPP1R12A_Ppp1r12a"
"1433","Ppp1r14a","PPP1R14A","PPP1R14A_Ppp1r14a"
"1434","Ppp1r16a","PPP1R16A","PPP1R16A_Ppp1r16a"
"1435","Ppp1r21","PPP1R21","PPP1R21_Ppp1r21"
"1436","Ppp1r3e","PPP1R3E","PPP1R3E_Ppp1r3e"
"1437","Ppp1r9b","PPP1R9B","PPP1R9B_Ppp1r9b"
"1438","Ppp2ca","PPP2CA","PPP2CA_Ppp2ca"
"1439","Ppp2cb","PPP2CB","PPP2CB_Ppp2cb"
"1440","Ppp2r3a","PPP2R3A","PPP2R3A_Ppp2r3a"
"1441","Ppp2r5b","PPP2R5B","PPP2R5B_Ppp2r5b"
"1442","Ppp2r5c","PPP2R5C","PPP2R5C_Ppp2r5c"
"1443","Ppp2r5d","PPP2R5D","PPP2R5D_Ppp2r5d"
"1444","Ppp3ca","PPP3CA","PPP3CA_Ppp3ca"
"1445","Ppp3cb","PPP3CB","PPP3CB_Ppp3cb"
"1446","Ppp4c","PPP4C","PPP4C_Ppp4c"
"1447","Ppp6r2","PPP6R2","PPP6R2_Ppp6r2"
"1448","Pprc1","PPRC1","PPRC1_Pprc1"
"1449","Pptc7","PPTC7","PPTC7_Pptc7"
"1450","Pqbp1","PQBP1","PQBP1_Pqbp1"
"1451","Pradc1","PRADC1","PRADC1_Pradc1"
"1452","Prdm2","PRDM2","PRDM2_Prdm2"
"1453","Prdm4","PRDM4","PRDM4_Prdm4"
"1454","Prdx5","PRDX5","PRDX5_Prdx5"
"1455","Prelid1","PRELID1","PRELID1_Prelid1"
"1456","Prkaca","PRKACA","PRKACA_Prkaca"
"1457","Prkar1a","PRKAR1A","PRKAR1A_Prkar1a"
"1458","Prkar2a","PRKAR2A","PRKAR2A_Prkar2a"
"1459","Prkar2b","PRKAR2B","PRKAR2B_Prkar2b"
"1460","Prkci","PRKCI","PRKCI_Prkci"
"1461","Prkcq","PRKCQ","PRKCQ_Prkcq"
"1462","Prkcsh","PRKCSH","PRKCSH_Prkcsh"
"1463","Prmt6","PRMT6","PRMT6_Prmt6"
"1464","Prob1","PROB1","PROB1_Prob1"
"1465","Proser1","PROSER1","PROSER1_Proser1"
"1466","Prpf40b","PRPF40B","PRPF40B_Prpf40b"
"1467","Prpf8","PRPF8","PRPF8_Prpf8"
"1468","Prr5","PRR5","PRR5_Prr5"
"1469","Prrc2a","PRRC2A","PRRC2A_Prrc2a"
"1470","Prrc2b","PRRC2B","PRRC2B_Prrc2b"
"1471","Prrx1","PRRX1","PRRX1_Prrx1"
"1472","Prrx2","PRRX2","PRRX2_Prrx2"
"1473","Prss23","PRSS23","PRSS23_Prss23"
"1474","Prss27","PRSS27","PRSS27_Prss27"
"1475","Psat1","PSAT1","PSAT1_Psat1"
"1476","Psip1","PSIP1","PSIP1_Psip1"
"1477","Psma7","PSMA7","PSMA7_Psma7"
